gene,log2FoldChange,padj,Athaliana_geneID,Gene_Function,VarYCRep.1,VarYCRep.2,VarYCRep.3,VarY1Rep.1,VarY1Rep.2,VarY1Rep.3
Soltu.DM.01G000490,1.200494654,8.22e-05,AT1G68050,flavin-binding; kelch repeat; f box,1802.563014,2402.880766,1963.07516,5628.804477,4157.781254,4387.521447
Soltu.DM.01G002360,2.13260843,4.82e-16,AT3G20810,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,288.2590295,446.6531307,350.5762366,1712.318164,1442.145509,1599.480509
Soltu.DM.01G035400,1.197832465,0.049971276,,conserved hypothetical protein,114.548348,149.8266831,150.2469585,302.1737937,401.6282338,250.6957792
Soltu.DM.01G039720,1.460418427,0.001915023,AT1G09155,phloem protein 2-B15,71.75006412,90.46139355,100.164639,261.6223322,195.81163,265.8894628
Soltu.DM.01G046580,-1.142726924,0.018144501,AT5G67420,LOB domain-containing protein,776.6629748,807.0852456,702.6701192,321.7954686,338.7398271,373.6264918
Soltu.DM.01G047590,2.155621395,1.78e-06,AT5G42900,conserved hypothetical protein,35.24564553,63.60566734,59.94701881,278.6277838,202.9580399,227.9052538
Soltu.DM.01G048600,1.325686544,0.000215765,AT2G15890,maternal effect embryo arrest,775.4042017,1242.430702,1086.634569,2425.239019,2010.999733,3340.538523
Soltu.DM.02G008160,1.82154147,0.000586623,AT4G18750,Tetratricopeptide repeat (TPR)-like superfamily protein,8.811411383,8.480755646,13.65881441,32.70279152,30.01492139,48.34353869
Soltu.DM.02G020570,1.108651434,0.003901718,AT4G04330,Chaperonin-like RbcX protein,455.6758458,794.3641121,686.7348357,1457.23639,923.3161532,1790.782797
Soltu.DM.02G026480,2.926303684,0.021152703,AT3G03280,DUF4228 domain containing protein,1.258773055,5.653837097,6.829407206,49.70824311,15.72210168,42.12794085
Soltu.DM.02G029350,1.118910223,0.042570185,AT4G33950,Protein kinase superfamily protein,93.14920605,57.95183025,92.5764088,176.5950742,170.0845545,185.7773129
Soltu.DM.03G015440,2.161412489,0.002275674,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein,28.95178026,21.20188911,59.18819579,86.33536962,323.0177254,92.54334548
Soltu.DM.03G015480,2.801449493,8.72e-05,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein,10.07018444,2.826918549,10.62352232,35.31901484,110.0547118,29.00612321
Soltu.DM.03G015510,1.984872982,0.003290933,AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein,26.43423415,28.26918549,37.18232812,75.87047633,132.9232233,156.7711897
Soltu.DM.03G017160,1.992870959,3.8e-09,,hypothetical protein,42.79828386,57.95183025,54.63525765,194.9086375,198.670194,224.4521439
Soltu.DM.03G017170,1.397913634,1.3e-05,AT5G52190,Sugar isomerase (SIS) family protein,312.1757176,431.1050787,358.1644668,1063.49478,810.4028775,1024.88302
Soltu.DM.03G029900,1.711469755,4.95e-08,AT5G61380,CCT motif -containing response regulator protein,98.18429827,91.87485283,103.1999311,270.7791138,277.2807024,410.2294568
Soltu.DM.03G036510,-2.486980388,0.04830455,AT1G17640,RNA-binding (RRM/RBD/RNP motifs) family protein,0.0,11.30767419,25.04115976,3.924334983,1.429281971,2.071865944
Soltu.DM.04G006580,1.452106665,0.049971276,AT5G52450,MATE efflux family protein,229.096696,460.7877234,340.7115373,1104.046242,463.0873586,1248.644542
Soltu.DM.04G033650,2.271135957,4.95e-08,AT5G42900,cold regulated gene,195.1098235,415.5570266,289.8703948,1695.312712,1333.520079,1314.25363
Soltu.DM.04G037030,1.115535242,1.36e-05,AT1G76040,calcium-dependent protein kinase,158.6054049,131.4517125,194.2586939,345.3414785,325.8762894,385.3670655
Soltu.DM.05G012520,1.422382031,1.61e-07,AT2G33500,B-box type zinc finger protein with CCT domain,231.6142421,257.2495879,272.4174652,652.7477188,677.4796542,712.0312626
Soltu.DM.06G003380,1.833460464,1.35e-19,AT4G37300,maternal effect embryo arrest,393.9959661,610.6144065,679.9054285,1819.58332,1878.07651,2314.964881
