G tract found at positions:
16, 46, +
64, 135, +
140, 237, +
271, 310, +
414, 441, +
490, 574, +
620, 2008, +
2019, 2325, +
2361, 2396, +
2423, 2475, +
2489, 2522, +
2547, 2577, +
2579, 2610, +
2629, 2667, +
2672, 2703, +
2709, 2743, +
2747, 9990, +
9999, 10119, +
10155, 10197, +
10210, 10247, +
10248, 10274, +
10304, 10355, +
10357, 10468, +
10471, 10523, +
10540, 10571, +
10588, 10604, +
10611, 10889, +
10901, 10937, +
10939, 10992, +
11007, 11040, +
11050, 11075, +
11101, 11130, +
11150, 11162, +
11163, 11249, +
11258, 11297, +
11299, 11322, +
11324, 11391, +
11434, 11482, +
11504, 11583, +
11586, 11634, +
11645, 11658, +
11666, 11774, +
11776, 11829, +
11834, 12452, +
12461, 12687, +
12695, 12733, +
12738, 12813, +
12822, 12862, +
12883, 12929, +
12935, 12964, +
12973, 12990, +
13031, 13075, +
13077, 13111, +
13141, 13167, +
13191, 13456, +
13472, 13537, +
13618, 14196, +
14205, 14227, +
14230, 14290, +
14295, 14377, +
14379, 14407, +
14410, 14431, +
14437, 14781, +
14818, 14869, +
14887, 14901, +
14918, 14975, +
14983, 15003, +
15020, 15059, +
15076, 15100, +
15108, 15156, +
15166, 15402, +
15415, 15455, +
15468, 15495, +
15513, 15583, +
15595, 15646, +
15648, 15853, +
15855, 15879, +
15881, 16058, +
16061, 16095, +
16098, 16134, +
16157, 16200, +
16205, 16257, +
16260, 16401, +
16424, 16461, +
16480, 16512, +
16528, 16545, +
16551, 16590, +
16598, 16626, +
16629, 16659, +
16687, 16725, +
16732, 16745, +
16764, 16793, +
16796, 16828, +
16830, 16869, +
16880, 16907, +
16916, 17137, +
17145, 17174, +
17207, 17323, +
17329, 17462, +
17465, 17517, +
17519, 17662, +
17674, 17816, +
17829, 17871, +
17875, 17888, +
17892, 17902, +
17903, 17922, +
17923, 18048, +
18050, 18063, +
18065, 18110, +
18116, 18182, +
18195, 18255, +
18268, 18308, +
18310, 21604, +
21611, 21666, +
21671, 21681, +
21683, 21710, +
21715, 21765, +
21769, 21788, +
21789, 21871, +
21875, 21910, +
21914, 21932, +
21958, 21989, +
22010, 22053, +
22097, 22397, +
22404, 22444, +
22449, 22501, +
22530, 22556, +
22557, 22596, +
22600, 22642, +
22654, 22682, +
22712, 22989, +
23007, 23168, +
23196, 23269, +
23274, 24043, +
24049, 24095, +
24100, 24192, +
24198, 24245, +
24248, 24277, +
24288, 24400, +
24408, 24430, +
24432, 24508, +
24511, 24548, +
24559, 24592, +
24596, 24655, +
24670, 24693, +
24694, 24729, +
24730, 24749, +
24764, 25067, +
25081, 25332, +
25347, 25557, +
25560, 25598, +
25601, 26588, +
26616, 26654, +
26656, 27007, +
27018, 27086, +
27109, 27226, +
27239, 27307, +
27313, 27338, +
27341, 27396, +
27397, 27432, +
27433, 27494, +
27496, 27695, +
27708, 27761, +
27766, 27799, +
27819, 27878, +
27882, 27922, +
28035, 28062, +
28064, 28261, +
28274, 28461, +
28474, 28539, +
28541, 28581, +
28593, 28616, +
28621, 28650, +
28658, 28724, +
28754, 28782, +
28784, 28812, +
28818, 28836, +
28846, 28881, +
28905, 28932, +
28933, 28970, +
28982, 29028, +
29029, 29057, +
29060, 29154, +
29165, 29380, +
29393, 29428, +
29433, 29494, +
29520, 29599, +
29612, 29632, +
29635, 29670, +
29682, 29699, +
29703, 29944, +
29950, 29992, +
30006, 30073, +
30076, 30148, +
30151, 30201, +
30204, 30253, +
30260, 30314, +
30318, 30334, +
30337, 30370, +
30423, 30454, +
30459, 30585, +
30598, 30628, +
30636, 30666, +
30672, 30739, +
30745, 30917, +
30924, 30971, +
30999, 31054, +
31068, 31104, +
31108, 31140, +
31151, 31188, +
31230, 31318, +
31319, 31446, +
31464, 31510, +
31543, 31584, +
31586, 31625, +
31645, 31718, +
31720, 31790, +
31836, 31858, +
31869, 31886, +
31890, 33206, +
33207, 33233, +
33234, 33311, +
33313, 33344, +
33367, 33405, +
33408, 33459, +
33460, 33494, +
33508, 33532, +
33536, 33570, +
33587, 33606, +
33607, 33633, +
33661, 33724, +
33748, 33764, +
33767, 34193, +
34194, 34287, +
34289, 34310, +
34336, 34376, +
34378, 34404, +
