,Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,diseased1_P,diseased2_P,diseased3_P,diseased4_P,control1_P,control2_P,control3_P,control4_P,AVE_control,AVE_diseased,FC_control vs diseased,p-value,log2FC
1,Q9UHG9;Q9UK70;Q9UHH2;Q9UHH0;Q96E98;M5FJR4;A0A7S8RGC4;A0A7S8RFX7;A0A7S8MU46;A0A6S6PEI8;A0A411HBG8;A0A1Q1NHH4;A0A023UN48;A0A2R8YEH1;Q02094,Q9UHG9;Q9UK70;Q9UHH2;Q9UHH0;Q96E98;M5FJR4;A0A7S8RGC4;A0A7S8RFX7;A0A7S8MU46;A0A6S6PEI8;A0A411HBG8;A0A1Q1NHH4;A0A023UN48;A0A2R8YEH1;Q02094,Ammonium transporter Rh type A,RHAG,tr|D2Y6Y7|D2Y6Y7_HUMAN ATP synthase subunit 6 (Fragment) OS=Homo sapiens OX=9606 GN=ATP6 PE=4 SV=1;tr|W8D8V4|W8D8V4_HUMAN ATP synthase subunit a OS=Homo sapiens OX=9606 GN=ATP6 PE=3 SV=1;tr|X5BW47|X5BW47_HUMAN ATP synthase subunit a OS=Homo sapiens OX=9606,37218.67081851528,78871.31998138217,41825.45441505151,67281.26027861101,21854.30534813131,6414.313355903041,33891.42407694295,7325.677452587346,48289.54537253594,56630.90041168219,0.7776993932579295,0.0005784267656339637,-1.696397291505611
2,M0R1K3;A0A024R0L6;Q15102;M0QZT2;M0R389,M0R1K3;A0A024R0L6;Q15102,Platelet-activating factor acetylhydrolase IB subunit gamma,PAFAH1B3,tr|Q2NKW8|Q2NKW8_HUMAN Adenosylhomocysteinase (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL1 PE=2 SV=1;tr|A0A024R0A8|A0A024R0A8_HUMAN Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCYL1 PE=2 SV=1;tr|V5YQL4|V5YQL4_HUMAN Adenosylhomocysteinase OS=Homo sap,90801.93897326222,60623.24454166104,41247.6961281689,91373.59457332247,41098.86413393178,13393.33296799344,36611.78377941991,45740.77888802287,27277.12521981085,63769.73724985401,0.665711169697092,0.005074677337608362,-1.053586805072079
3,A0A8Q3SI37;A0A8Q3SI95;A0A024R035;P02748;A0A8Q3SI39;CON__Q3MHN2;REV__Q3C1W0;REV__Q4AC99;A0A8V8TLG2;A0A8V8TLW2;A0A2R8YD85;Q96BY6,A0A8Q3SI37;A0A8Q3SI95;A0A024R035;P02748;A0A8Q3SI39,Complement component C9;Complement component C9a;Complement component C9b,C9,tr|A0A6Q8PFF7|A0A6Q8PFF7_HUMAN Chloride channel CLIC-like protein 1 OS=Homo sapiens OX=9606 GN=CLCC1 PE=1 SV=1;tr|A0A6Q8PG75|A0A6Q8PG75_HUMAN Chloride channel CLIC-like protein 1 OS=Homo sapiens OX=9606 GN=CLCC1 PE=1 SV=1;tr|A0A6Q8PGA4|A0A6Q8PGA4_HUMAN Chl,49999.84603973026,57457.08315698126,47217.04098691557,83372.10800184833,11341.59012386432,19435.10292372811,36365.70834478705,48253.57537207614,26209.6098372285,97523.67241473965,0.8581657186524535,0.00832134177957742,-1.044647934794081
4,A0A024R001;Q53F27;Q9P0S9,A0A024R001;Q53F27;Q9P0S9,Transmembrane protein 14C,TMEM14C,tr|H0Y3T6|H0Y3T6_HUMAN 45 kDa calcium-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1;tr|G3V1E2|G3V1E2_HUMAN Stromal cell derived factor 4 OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1;tr|A0A9K3Y7X5|A0A9K3Y7X5_HUMAN Stromal cell derived fa,97352.07839321793,54541.12911646179,37124.77308342826,32347.27043150456,17642.05293593213,9063.039652448373,44481.788236758,47365.91639494363,36030.52243501304,63095.49894165599,1.132035503415605,0.001607598960483082,-0.9008990685551455
5,Q5TD07;A0A024QZT9;P16083;B3KPX6;Q5TD05;Q59EN2,Q5TD07;A0A024QZT9;P16083;B3KPX6,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,"tr|A0A024R046|A0A024R046_HUMAN High mobility group nucleosomal binding domain 4, isoform CRA_a OS=Homo sapiens OX=9606 GN=HMGN4 PE=3 SV=1;sp|O00479|HMGN4_HUMAN High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens OX=9606 GN=HM",70835.81355680118,31018.12659675174,46605.87542151961,82076.24048008738,21053.89970121152,29109.86078336413,28324.83435636815,29552.75551921707,37630.50987752913,71143.64912335812,1.126650173251001,0.007435082562916077,-1.0934088304900738
6,A0A024QZT4;P50453,A0A024QZT4;P50453,Serpin B9,SERPINB9,"tr|A0A024R040|A0A024R040_HUMAN Succinyl-CoA:3-ketoacid-coenzyme A transferase OS=Homo sapiens OX=9606 GN=OXCT1 PE=2 SV=1;sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1;tr|Q6I",82223.14154857963,39546.00329107388,72404.23735498209,47394.2397870126,42293.18791183682,33508.83698424026,11303.78068564358,25621.38007211825,40975.6107731032,59627.92877450568,1.652410120796777,0.003351188542591419,-1.0995916164770758
7,A0A024QZT0;P45880;A0A0A0MR02;A0A024QZN9;B4DKM5;Q5JSD2;Q5JSD1;A2A3S1,A0A024QZT0;P45880;A0A0A0MR02;A0A024QZN9;B4DKM5;Q5JSD2;Q5JSD1,Voltage-dependent anion-selective channel protein 2,VDAC2,"tr|B2RAW0|B2RAW0_HUMAN cDNA, FLJ95154, highly similar to Homo sapiens disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|A0A024R036|A0A024R036_HUMAN Disabled homolog 2, mitogen-responsive ph",75444.72114812446,44907.49130562375,99056.06741550857,51820.54474568838,17210.70642982532,33453.76237671108,49552.42325469185,33947.96982990589,38131.5533899211,88252.16875731105,1.976125203798943,0.001288698674734452,-1.0155036322100015
8,A8MU58;B2R7M3;A0A024QZY1;Q13155,A8MU58;B2R7M3;A0A024QZY1;Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2;JTV1,"tr|A0A8Q3SI37|A0A8Q3SI37_HUMAN Complement C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=1;tr|A0A8Q3SI95|A0A8Q3SI95_HUMAN Complement C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=1;tr|A0A024R035|A0A024R035_HUMAN Complement component 9, isoform CRA_a OS=Homo sapiens O",38226.83727439735,79285.58376694565,54926.77081284924,40617.24158129258,22490.47803602669,21550.24097236639,32675.32520146264,22467.64667929348,51021.10466780042,46623.89343401012,1.810515671279508,0.008258167505647626,-1.1030607976954048
9,A0A024QZY0;Q86WA6;Q49AI2;B4DML3,A0A024QZY0;Q86WA6,Valacyclovir hydrolase,BPHL,"tr|A0A7P0TBF5|A0A7P0TBF5_HUMAN Sirtuin (Silent mating type information regulation 2 homolog) 5 (S. cerevisiae), isoform CRA_c OS=Homo sapiens OX=9606 GN=SIRT5 PE=1 SV=1;tr|A0A7P0TA05|A0A7P0TA05_HUMAN Sirtuin 5 OS=Homo sapiens OX=9606 GN=SIRT5 PE=1 SV=1;tr|",38317.25413876503,73421.66859474253,69954.48132682382,85201.80478571716,19639.86488434689,37769.73568753368,9372.942219684584,30896.33800441455,22628.3455771341,99042.68931410964,1.441258194827555,0.0002924728303455915,-1.4501548321138207
10,Q0VAB1;A0A024R0M6;Q3ZCQ8;M0QXC3;M0R2Z3;M0R303;M0R2D2;M0R1Y4;M0R003;M0R047;M0R0C3;M0R2F8,Q0VAB1;A0A024R0M6;Q3ZCQ8;M0QXC3;M0R2Z3;M0R303;M0R2D2;M0R1Y4;M0R003,Mitochondrial import inner membrane translocase subunit TIM50,TIMM50,tr|Q2TB59|Q2TB59_HUMAN proton-translocating NAD(P)(+) transhydrogenase OS=Homo sapiens OX=9606 GN=NNT PE=2 SV=1;tr|A0A024R0C3|A0A024R0C3_HUMAN proton-translocating NAD(P)(+) transhydrogenase OS=Homo sapiens OX=9606 GN=NNT PE=3 SV=1;sp|Q13423|NNTM_HUMAN NAD,45651.70869636168,93291.1086145624,43059.6916835914,53945.72241011352,8354.778965589687,6834.881369964376,21177.10180488898,13810.60106551834,54471.42484054069,85312.37122375178,1.031933236461165,6.38587171683358e-05,-2.2333617925307876
